Substrate_SMILES,cluster_id,pc1,pc2,pc3,pair_count
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C[C@@H](O)CC2(C)C)C(C)(C)C[C@H](O)C1,7,0.1412091,0.16856492,0.15378028,4
CC1=C[C@H]2O[C@@H]3[C@H](O)C[C@](C)([C@@]2(CO)[C@H](O)C1=O)[C@]31CO1,7,0.065717824,0.0551328,0.16851428,4
CC1OC(OC2C(OC3C(CO)OC(O)C(O)C3O)OC(CO)C(O)C2O)C(O)C(O)C1O,2,-0.38970575,-0.12803294,0.35959363,2
CC1OC(OP(=O)([O-])OP(=O)([O-])OCC2OC(n3ccc(N)nc3=O)C(O)C2O)C(O)CC1O,0,-0.15599327,-0.40893567,-0.15975946,2
CCC(C)CCCCCCCCCCC(=O)OC[C@H]1O[C@@H](OC(=O)/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(\C)CCC=C(C)C)[C@H](O)[C@@H](O)[C@@H]1O,4,-0.26003262,0.20041208,0.012882087,2
CCCCCCCCC=CCCCCCCCC(=O)NC(CO)C(O)C=CCCCCCCCCCCCCC,5,-0.06145241,0.30102476,0.06690047,326
CCCCCCCCCCCCCC(=O)OC(CCCCCCCCCCC)CC(=O)OC1C(NC(=O)CC(CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)C(OCC2OC(OP(=O)([O-])[O-])C(NC(=O)CC(O)CCCCCCCCCCC)C(OC(=O)CC(O)CCCCCCCCCCC)C2O)OC(COC2(C(=O)[O-])CC(OC3(C(=O)[O-])CC(O)C(O)C(C(O)CO)O3)C(OC3OC(C(O)CO)C(OP(=O)([O-])[O-])C(OC4OC(C(O)COC5OC(C(O)CO)C(O)C(O)C5O)C(OP(=O)([O-])[O-])C(OC5OC(COC6OC(CO)C(O)C(O)C6O)C(O)C(O)C5O)C4O)C3O)C(C(O)CO)O2)C1OP(=O)([O-])[O-],5,-0.26714393,0.013775175,0.20619413,2
CCCCCCCCCCCCCC(=O)OC(CCCCCCCCCCC)CC(=O)OC1C(NC(=O)CC(CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)C(OCC2OC(OP(=O)([O-])[O-])C(NC(=O)CC(O)CCCCCCCCCCC)C(OC(=O)CC(O)CCCCCCCCCCC)C2O)OC(COC2(C(=O)[O-])CC(OC3(C(=O)[O-])CC(O)C(O)C(C(O)CO)O3)C(OC3OC(C(O)CO)C(OP(=O)([O-])[O-])C(OC4OC(C(O)COC5OC(C(O)CO)C(O)C(O)C5O)C(OP(=O)([O-])[O-])C(OC5OC(COC6OC(CO)C(O)C(O)C6O)C(O)C(OC6OC(CO)C(O)C(O)C6O)C5O)C4O)C3O)C(C(O)CO)O2)C1OP(=O)([O-])[O-],5,-0.26679048,0.013599561,0.20573752,2
CCCCCCCCCCCCCC=CC(O)C(COC1OC(CO)C(OC2OC(CO)C(O)C(OC3(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(O)CO)O3)C2O)C(O)C1O)NC=O,5,-0.27926388,0.10141696,0.299846,6
CCCCCCCCCCCCCC=CC(O)C(COC1OC(CO)C(OC2OC(CO)C(O)C(OC3OC(CO)C(O)C(O)C3NC(C)=O)C2O)C(O)C1O)NC(C)=O,5,-0.3838788,0.08684774,0.2635299,362
CCCCCCCCCCCCCC=CC(O)C(COC1OC(CO)C(OC2OC(CO)C(O)C(OS(=O)(=O)O)C2O)C(O)C1O)NC=O,5,-0.29633734,0.08537369,0.28578407,6
CCCCCCCCCCCCCCCCC/C=C/C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCCCCCCCC,5,-0.29384798,0.07552883,0.23783532,22
CC[C@H](C)[C@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CSC[C@@H](C(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](Cc2cnc[nH]2)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCCN=C(N)N)NC1=O,6,0.21417876,0.05996373,0.018970167,2
CN(C)C1CCCCC1N,7,0.10563159,0.1395643,0.2256403,4
CN(C)c1ccnc(Cl)n1,6,0.26477677,0.015244043,-0.027149396,482
CN(CCCC(O)c1cccnc1)N=O,6,0.2157495,0.10907489,-0.029594554,4
CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,1,0.23818436,-0.016339114,0.101246886,4
COC(=O)C1=CO[C@@H](O)[C@H]2[C@@H]1CC[C@@H]2C,1,0.10879186,0.013895434,0.186144,2
COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]2[C@@H]1C=C[C@@]21C=C(CO)C(=O)O1,2,-0.106868304,-0.15826477,0.1814392,2
CO[C@H]1C[C@H](O[C@H]2[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3O)[C@@H](C)C[C@@]3(CO3)C(=O)[C@H](C)[C@@H](O)[C@@H](C)[C@@H](C)OC(=O)[C@@H]2C)O[C@@H](C)[C@@H]1O,2,-0.019735962,-0.010365975,0.20837586,4
COc1cc(/C=C/C(=O)O)cc(OC)c1O,1,0.25018588,0.08574564,-0.069395185,2
COc1cc(/C=C/CO)ccc1O,1,0.24590987,0.09389763,-0.10153678,6
COc1cc(O)c2c(c1)C(=O)c1cc3c(c(O)c1C2=O)[C@@H](O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1OC)[C@H](OC)[C@](C)(O)C3=O,1,0.10714898,-0.049649857,0.13803513,2
COc1cc2c(cc1O)CCC1C2CCC2(C)C(=O)CCC12,1,0.3441243,0.102399416,0.18805586,4
COc1cc2c(cc1O)CCC1C2CCC2(C)C(O)CCC12,1,0.30648834,0.1779018,0.27202487,4
COc1cc2ccc(=O)oc2cc1O,1,0.34604734,-0.037327405,-0.101073004,6
COc1ccc2c(c1)OC(O)C(=O)N2O,1,0.20017688,-0.08776855,0.0034605067,6
COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,1,0.18105693,-0.004381954,0.13180579,4
C[C@@H](O)[C@H](N)C(=O)O,7,0.08179538,0.15638109,0.034182016,2
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,7,0.09490558,0.26959077,0.24263619,12
C[C@H](CC[C@@H](O)C(C)(C)O)[C@H]1CC[C@@]2(C)[C@@H]3CC=C4[C@@H](CC[C@H](O)C4(C)C)[C@]3(C)[C@H](O)C[C@]12C,7,0.1430855,0.19384445,0.21781522,2
C[C@H]1CC[C@@H]2C(C(=O)O)=CO[C@@H](O)[C@@H]21,7,0.17414363,0.0072283824,0.17106129,4
Cc1c(N)ccc(O)c1C,6,0.36990684,0.023422757,-0.07289079,1044
Cc1ccc(C(C)C)cc1O,6,0.3501675,0.09003202,-0.09962481,2
Cc1cn(C2CC(O)C(COP(=O)([O-])OP(=O)([O-])OC3OC(C)C(O)C(O)C3O)O2)c(=O)[nH]c1=O,0,-0.1943669,-0.3376905,-0.100978486,70
N#CC(O)c1ccc(O)cc1,6,0.36703953,0.012436486,-0.11214117,2
NC(=O)CCSC(=O)CCS,6,0.060630683,0.13630354,-0.005836016,2
NC(=O)C[C@H](N)C(=O)O.NCCCC[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12)C(=O)NCC(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CO)C(=O)O,6,0.25470826,0.030967485,-0.07267374,2
Nc1ccc(C(=O)O)c2ccccc12,3,0.32169083,-0.07460161,-0.11107457,10
Nc1ccc2cc([N+](=O)[O-])ccc2c1,3,0.27795044,-0.051605836,-0.09429617,18
Nc1nc2c(c(CN[C@H]3C=C[C@H](O)[C@@H]3O)cn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,0,-0.060685605,-0.3006071,0.07878629,4
Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)OC3OC(C(=O)O)C(O)C(O)C3O)C(O)C2O)c(=O)[nH]1,0,-0.13280861,-0.37887147,-0.06908147,10
Nc1nc2c(ncn2C2OC(COP(=O)([O-])OP(=O)([O-])OC3OC(CO)C(O)C(O)C3O)C(O)C2O)c(=O)[nH]1,0,-0.28367457,-0.4997543,-0.12305808,1800
Nc1ncnc2c1ncn2C1OC(COP(=O)([O-])OP(=O)([O-])OC2OC(CO)C(O)C(O)C2O)C(O)C1O,0,-0.3047892,-0.46592838,-0.11020786,6
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,0,-0.12420994,-0.34183365,0.102369465,2
O=C(/C=C/c1ccc(O)cc1)c1c(O)cc(O)cc1O,3,0.3723849,0.027703917,-0.15757002,4
O=C(N[C@H]1COC(=O)[C@@H](NC(=O)c2cccc(O)c2O)COC(=O)[C@@H](NC(=O)c2cccc(O)c2O)COC1=O)c1cccc(O)c1O,3,0.2277008,-0.10644249,-0.055832107,2
O=C(O)C1(O)C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O1,5,-0.009532181,0.046505913,0.24328773,20
O=C(O)C1=N[C@H](C(=O)O)CC(/C=C/N2c3cc(O)c(O)cc3C[C@H]2C(=O)O)=C1,1,0.23176578,-0.01619277,0.014902609,2
O=C(O)C1OC(OC2C(C(=O)O)OC(OC3C(C(=O)O)OC(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O,2,-0.2074205,-0.11497792,0.2800408,2
O=C(O)c1cc(-c2ccccc2)cc(Cl)c1O,3,0.41521564,-0.04071595,-0.16872965,2
